Area	Energy Meter 	AC Controller	Present Sensor 	Ambient Sensor 	Supply Air Sensor
1-1	-	25327	25334	25335	25349
1-2	-	25331	25343	25336	-
1-3	-	25329	25344	25337	-
1-4	-	25328	25345	25338	25350
1-5	-	25333	25346	25339	-
1-6	-	25330	25347	25340	-
1-7	-	25332	25348	25341	-
2-1	-	25405	25358	25351	-
2-2	-	25403	25359	25352	-
2-3	-	25404	25360	25353	25370
2-4	-	25402	25361	25354	-
2-5	-	25401	25362	25355	-
2-6	-	25400	25363	25356	-
2-7	-	25322	25364	25357	25371
2-8	-	25326	25372	25365	-
2-9	-	25321	25373	25366	-
2-10	-	25323	25374	25367	-
2-11	-	25324	25375	25368	-
2-12	-	25325	25376	25369	-